,0,1
138,0.00895873,25.74677931
139,0.00895888,0.23371861
140,0.00895913,0.65896936
141,0.00896,23.21613902
142,0.00896064,0.22551264
143,0.0089617,0.24143905
144,0.00896364,0.57447852
145,0.00896386,0.57369186
146,0.00896387,0.06221977
147,0.00896426,0.07593348
148,0.00896484,0.29920537
149,0.00896525,0.33234675
150,0.00896526,0.41973166
151,0.00896599,0.32987208
152,0.00896681,0.3379132
153,0.0089676,0.46061886
154,0.00896783,0.06101491
155,0.00896873,0.47432763
156,0.00896877,25.0
157,0.008969,5.63851317
158,0.00896927,0.31712522
159,0.00897,28.44107994
160,0.00897004,0.28494867
161,0.00897152,0.44154071
162,0.00897173,2.0
163,0.008973,0.8291333
164,0.00897346,3.40153066
165,0.00897499,0.10495348
166,0.008975,3.0
167,0.00897644,0.31137267
168,0.00897708,5.0
169,0.00897772,0.05916834
170,0.00897787,20.5116395
171,0.00897801,0.3
172,0.00897828,2.5
173,0.00897979,0.14723419
174,0.00898,2.10248779
175,0.00898047,0.69149005
176,0.00898059,10.0
177,0.00898216,0.33650921
178,0.00898218,0.2981801
179,0.00898323,0.94950609
180,0.00898357,0.37654045
181,0.00898409,0.0559883
182,0.00898467,1.05154992
183,0.00898502,0.11360378
184,0.00898519,0.19566624
185,0.00898531,0.37516599
186,0.00898532,0.4211291
187,0.00898581,0.26479079
188,0.0089862,6.44119717
189,0.00898625,0.40741339
190,0.00898702,20.0
191,0.00898745,0.63339732
192,0.0089876,21.03751996
193,0.00898857,0.15
194,0.0089887,0.14734254
195,0.008989,10.0
196,0.00899,107.94934349
197,0.00899103,0.36353081
198,0.0089914,0.0611265
199,0.0089933,0.05916834
200,0.00899451,8.11665912
201,0.00899471,0.58964441
202,0.00899493,0.30275422
203,0.008995,5.75259516
204,0.00899511,0.44385865
205,0.00899666,0.71354198
206,0.00899671,0.24334423
207,0.00899791,0.28382905
208,0.00899858,0.53550745
209,0.008999,4.1211972
210,0.0089991,0.4820019
211,0.00899966,1.36739736
212,0.0089999,0.28844069
213,0.00899998,2.0
214,0.00899999,61.63617201
215,0.009,850.68312819
216,0.00900001,0.59869672
217,0.00900035,0.06477957
218,0.0090012,0.44534423
219,0.00900152,0.34225881
220,0.00900216,1.02430384
221,0.00900264,0.5
222,0.00900396,0.45668773
223,0.00900412,0.05916834
224,0.0090046,0.28173927
225,0.00900478,0.62517367
226,0.00900514,0.36918254
227,0.00900547,0.49498706
228,0.0090058,0.49778828
229,0.00900731,0.72780072
230,0.00900743,0.11966796
231,0.00901,31.43657024
232,0.00901046,0.83462447
233,0.0090106,0.35090968
234,0.00901143,0.83958575
235,0.00901197,0.43866254
236,0.0090128,0.33223164
237,0.00901291,0.28537595
238,0.00901378,0.67445197
239,0.00901391,0.24142612
240,0.00901495,0.29111583
241,0.00901604,0.34758094
242,0.009017,45.879
243,0.00901714,0.40494419
244,0.00901761,0.28830936
245,0.00901779,0.35662984
246,0.00901829,1.75662768
247,0.0090185,6.70314537
248,0.00902,3.57084143
249,0.00902025,0.40909398
250,0.00902049,2.5
251,0.00902188,0.35578515
252,0.00902208,0.39258564
253,0.00902245,0.16520893
254,0.00902256,1.0
255,0.00902381,0.58203021
256,0.00902439,0.32091022
257,0.00902473,0.0555556
258,0.00902494,0.39635679
259,0.00902511,0.53368207
260,0.00902569,0.189
261,0.00902652,0.1
262,0.00902714,0.48061049
263,0.00902877,0.374814
264,0.00902923,0.53569223
265,0.00902999,5.91540698
266,0.00903042,13.265085
267,0.00903254,0.44114572
268,0.009033,0.19174378
269,0.00903688,0.36192443
270,0.00903733,0.37413674
271,0.00903785,0.43691804
272,0.00903825,0.18180574
273,0.009039,0.262135
274,0.00904,6.8333
275,0.0090401,0.11533125
276,0.00904089,0.14655629
277,0.00904141,0.27684643
278,0.00904176,0.25558166
279,0.00904321,0.34635417
280,0.00904333,0.25752863
281,0.00904393,0.40133866
282,0.00904475,0.15039531
283,0.00904636,0.0632622
284,0.00904656,0.55500092
285,0.00904754,0.30786001
286,0.00905,46.58889727
287,0.00905093,0.78622095
288,0.0090518,0.11272473
289,0.0090538,0.2
290,0.00905435,0.05916834
291,0.00905664,10.0
292,0.00905751,31.10427899
293,0.0090581,2.5
294,0.0090592,1.02566344
295,0.00906115,40.0
296,0.009062,0.1
297,0.00906277,0.15096897
298,0.00906458,0.06258547
299,0.00906473,0.4082282
300,0.00906498,0.46075179
301,0.00906575,1.0
302,0.00906628,0.18704021
303,0.00906657,0.90306153
304,0.00906818,0.1109382
305,0.00906918,0.18
306,0.00906969,12.73592615
307,0.00907,15.66910744
308,0.00907009,0.0554574
309,0.00907014,0.0553662
310,0.00907019,0.43955874
311,0.00907064,0.13598185
312,0.0090709,0.1
313,0.00907201,0.57415782
314,0.00907295,1.04475828
315,0.0090761,3.68523007
